data_src,id,src_id,player,pos,team,seasonpts,site_season_pts,weekpts,site_pts,games,dst_sacks,dst_int,dst_fum_rec,dst_safety,dst_td,dst_blk,dst_ret_td,dst_pts_allowed,week,season
NFL,0530,100029,San Francisco 49ers,DEF,SF,58,64.35,6,5.51,1,1.87,0.85,0.64,0.03,0.08,0.08,0.02,23.94,1,2018
NFL,0521,100005,Chicago Bears,DEF,CHI,187,156.97,14,6.36,1,2.58,0.89,0.58,0.03,0.1,0.07,0.03,23.27,1,2018
NFL,0506,100006,Cincinnati Bengals,DEF,CIN,84,83.73,12,7.33,1,2.55,1,0.91,0.03,0.1,0.07,0.05,25.14,1,2018
NFL,0501,100003,Buffalo Bills,DEF,BUF,107,86.39,0,6.29,1,2.09,0.96,0.66,0.03,0.13,0.08,0.02,21.22,1,2018
NFL,0511,100009,Denver Broncos,DEF,DEN,124,108.81,12,6.97,1,2.63,1,0.61,0.05,0.14,0.07,0.03,21.01,1,2018
NFL,0507,100007,Cleveland Browns,DEF,CLE,98,103.58,16,5.53,1,1.47,0.92,0.72,0.03,0.09,0.08,0.03,24.38,1,2018
NFL,0525,100031,Tampa Bay Buccaneers,DEF,TB,68,75.07,7,5.26,1,1.52,0.89,0.58,0.04,0.09,0.05,0.03,27.45,1,2018
NFL,0519,100026,Arizona Cardinals,DEF,ARI,103,78.92,5,6.14,1,2.28,0.88,0.6,0.03,0.11,0.06,0.03,22.64,1,2018
NFL,0514,100028,Los Angeles Chargers,DEF,LAC,112,87.2,-3,6.66,1,2.26,1.03,0.69,0.03,0.12,0.07,0.03,23.96,1,2018
NFL,0512,100016,Kansas City Chiefs,DEF,KC,130,119.68,10,5.96,1,1.84,1.06,0.61,0.03,0.09,0.06,0.03,24.01,1,2018
NFL,0502,100014,Indianapolis Colts,DEF,IND,116,90.82,5,6.5,1,2.44,0.92,0.69,0.03,0.1,0.07,0.03,19.68,1,2018
NFL,0516,100008,Dallas Cowboys,DEF,DAL,98,80,6,6.56,1,2.54,0.93,0.63,0.03,0.1,0.07,0.04,20.11,1,2018
NFL,0503,100019,Miami Dolphins,DEF,MIA,116,108.51,13,6.72,1,2.7,0.89,0.64,0.03,0.12,0.08,0.03,21.4,1,2018
NFL,0518,100025,Philadelphia Eagles,DEF,PHI,97,79.19,10,6.16,1,1.98,0.98,0.64,0.05,0.1,0.07,0.04,22.12,1,2018
NFL,0526,100001,Atlanta Falcons,DEF,ATL,79,84.38,7,6.3,1,2.04,0.95,0.7,0.03,0.13,0.08,0.02,21.35,1,2018
NFL,0517,100023,New York Giants,DEF,NYG,84,90.39,4,6.18,1,1.56,0.96,0.92,0.04,0.11,0.08,0.02,22.89,1,2018
NFL,0509,100015,Jacksonville Jaguars,DEF,JAX,115,91.42,13,6.9,1,2.14,1.06,0.77,0.04,0.14,0.06,0.03,16.04,1,2018
NFL,0505,100024,New York Jets,DEF,NYJ,103,106.85,26,6.62,1,2.44,1.02,0.58,0.04,0.12,0.07,0.03,23.32,1,2018
NFL,0522,100010,Detroit Lions,DEF,DET,100,83.59,8,6.9,1,2.54,1.02,0.62,0.03,0.14,0.07,0.03,19.53,1,2018
NFL,0523,100011,Green Bay Packers,DEF,GB,93,85.22,7,7.33,1,2.81,1.05,0.73,0.03,0.11,0.07,0.04,21.42,1,2018
NFL,0527,100004,Carolina Panthers,DEF,CAR,92,83.27,12,6.89,1,2.63,1.01,0.66,0.04,0.11,0.07,0.03,22.54,1,2018
NFL,0504,100021,New England Patriots,DEF,NE,135,88.54,8,7.51,1,2.91,1.07,0.71,0.04,0.13,0.08,0.03,18.24,1,2018
NFL,0513,100018,Oakland Raiders,DEF,OAK,45,61.81,1,5.69,1,1.93,0.86,0.63,0.03,0.09,0.07,0.03,26.61,1,2018
NFL,0528,100017,Los Angeles Rams,DEF,LA,150,112.67,17,5.96,1,1.7,1.01,0.6,0.04,0.13,0.08,0.03,18.75,1,2018
NFL,0531,100002,Baltimore Ravens,DEF,BAL,132,83.28,17,7.88,1,2.68,1.19,0.71,0.04,0.17,0.1,0.05,18.04,1,2018
NFL,0520,100032,Washington Redskins,DEF,WAS,120,98.72,13,7.24,1,2.82,1.02,0.67,0.04,0.13,0.06,0.03,20.31,1,2018
NFL,0529,100022,New Orleans Saints,DEF,NO,108,108.99,-4,6.2,1,1.82,1.05,0.62,0.04,0.13,0.08,0.03,18.22,1,2018
NFL,0515,100030,Seattle Seahawks,DEF,SEA,121,98.2,7,6.06,1,2.06,0.93,0.62,0.03,0.11,0.06,0.03,21.24,1,2018
NFL,0510,100027,Pittsburgh Steelers,DEF,PIT,110,100.71,9,6.81,1,2.85,0.89,0.67,0.03,0.09,0.08,0.04,18.85,1,2018
NFL,0532,100013,Houston Texans,DEF,HOU,146,118.41,8,5.36,1,1.7,0.77,0.64,0.03,0.08,0.06,0.05,28.23,1,2018
NFL,0508,100012,Tennessee Titans,DEF,TEN,119,79.41,11,6.87,1,2.49,1.04,0.69,0.04,0.11,0.06,0.03,20.29,1,2018
NFL,0524,100020,Minnesota Vikings,DEF,MIN,124,102.35,18,6.89,1,2.39,1.06,0.62,0.03,0.14,0.07,0.04,19.59,1,2018
NFL,0530,100029,San Francisco 49ers,DEF,SF,58,64.35,4,5.66,1,2.06,0.79,0.61,0.04,0.1,0.09,0.02,19.48,2,2018
NFL,0521,100005,Chicago Bears,DEF,CHI,187,156.97,17,6.95,1,2.69,0.78,0.66,0.06,0.13,0.08,0.08,21.21,2,2018
NFL,0506,100006,Cincinnati Bengals,DEF,CIN,84,83.73,10,5.75,1,1.89,0.88,0.69,0.03,0.1,0.08,0.01,24.64,2,2018
NFL,0501,100003,Buffalo Bills,DEF,BUF,107,86.39,1,5.42,1,1.78,0.74,0.66,0.03,0.1,0.08,0.03,24.95,2,2018
NFL,0511,100009,Denver Broncos,DEF,DEN,124,108.81,2,5.76,1,1.84,0.87,0.64,0.03,0.1,0.09,0.04,19.67,2,2018
NFL,0507,100007,Cleveland Browns,DEF,CLE,98,103.58,7,5.06,1,1.76,0.62,0.67,0.03,0.11,0.08,NA,27.22,2,2018
NFL,0525,100031,Tampa Bay Buccaneers,DEF,TB,68,75.07,7,5.47,1,1.83,0.63,0.71,0.03,0.13,0.09,0.02,25.62,2,2018
NFL,0519,100026,Arizona Cardinals,DEF,ARI,103,78.92,3,5.57,1,2.37,0.65,0.61,0.04,0.1,0.07,NA,25.46,2,2018
