data_src,id,src_id,esbid,gsisplayerid,player,pos,team,seasonpts,site_season_pts,weekpts,site_pts,games,xp,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,week,season
NFL,11936,2550545,BOS743355,00-0031136,Chris Boswell,K,PIT,88.08,0,3,8.33,1,3.2,0.09,0.59,0.58,0.45,0.15,1,2018
NFL,6789,2504797,BRY500226,00-0020578,Matt Bryant,K,ATL,101,80.71,8,6.71,1,2.48,0.04,0.55,0.46,0.36,0.31,1,2018
NFL,10862,2533444,BUL521842,00-0029421,Randy Bullock,K,CIN,100,88.91,10,7.44,1,2.58,0.07,0.56,0.51,0.48,0.13,1,2018
NFL,13354,2558245,BUT061642,00-0033303,Harrison Butker,K,KC,141,133.21,8,6.92,1,2.06,0.07,0.59,0.52,0.44,0.13,1,2018
NFL,13718,2560993,CAR116166,00-0034161,Daniel Carlson,K,OAK,81,72.33,6,8.15,1,3.08,0.09,0.62,0.55,0.43,0.15,1,2018
NFL,11960,2550325,CAT093927,00-0030896,Chandler Catanzaro,K,CAR,84,70.19,12,6.95,1,2.15,0.06,0.53,0.49,0.52,0.17,1,2018
NFL,8742,2507232,CRO369933,00-0025580,Mason Crosby,K,GB,134,115.48,6,7.79,1,2.75,0.08,0.51,0.64,0.45,0.19,1,2018
NFL,3494,2500351,DAW705989,00-0004091,Phil Dawson,K,ARI,30,0,0,7.8,1,2.43,0.12,0.53,0.63,0.51,0.15,1,2018
NFL,13303,2558172,ELL296383,00-0033787,Jake Elliott,K,PHI,115,105.45,4,7.68,1,2.64,0.06,0.58,0.58,0.46,0.3,1,2018
NFL,12860,2556521,FAI144264,00-0032726,Ka'imi Fairbairn,K,HOU,158,136.67,8,6.04,1,1.66,0.07,0.53,0.42,0.44,0.18,1,2018
NFL,9694,71309,GAN308500,00-0026858,Graham Gano,K,CAR,78,0,4,7.04,1,2.18,0.09,0.59,0.49,0.45,0.11,1,2018
NFL,13347,2558178,GON750924,00-0033862,Zane Gonzalez,K,ARI,39,31.78,3,6.78,1,2.04,0.12,0.48,0.55,0.43,0.13,1,2018
NFL,8359,2506922,GOS721266,00-0024333,Stephen Gostkowski,K,NE,134,123.81,9,8.21,1,3.26,0.13,0.62,0.51,0.39,0.18,1,2018
NFL,8153,2506264,GOU258729,00-0023252,Robbie Gould,K,SF,130,120.25,10,6,1,1.83,0.06,0.42,0.51,0.4,0.25,1,2018
NFL,9319,2507374,HAU342462,00-0025944,Stephen Hauschka,K,BUF,99,79.47,3,5.69,1,1.19,0.07,0.52,0.45,0.46,0.19,1,2018
NFL,11387,2539227,HOP165345,00-0030098,Dustin Hopkins,K,WAS,111,97.37,6,7.71,1,2.55,0.16,0.55,0.54,0.47,0.26,1,2018
NFL,5666,2504257,JAN400354,00-0019646,Sebastian Janikowski,K,SEA,120,102.85,6,6.96,1,2.04,0.07,0.54,0.53,0.5,0.18,1,2018
NFL,12417,2553833,LAM580646,00-0032087,Josh Lambo,K,JAX,84,0,8,7.54,1,2.47,0.06,0.62,0.53,0.48,0.29,1,2018
NFL,12956,2556601,LUT811045,00-0032569,Wil Lutz,K,NO,140,134.78,6,8.02,1,3.22,0.08,0.62,0.49,0.41,0.25,1,2018
NFL,13909,2540243,MAH294385,00-0030332,Brett Maher,K,DAL,131,103.85,0,6.56,1,1.97,0.1,0.49,0.48,0.46,0.25,1,2018
NFL,11947,2541556,MCM226186,00-0029822,Brandon McManus,K,DEN,99,92.79,13,6.58,1,2.14,0.06,0.5,0.48,0.44,0.25,1,2018
NFL,12437,2553112,MYE407253,00-0031492,Jason Myers,K,NYJ,141,114.02,12,6.73,1,1.96,0.07,0.49,0.5,0.53,0.24,1,2018
NFL,7859,2506386,NUG461506,00-0023482,Mike Nugent,K,OAK,24,0,7,6.78,1,2.34,0.06,0.5,0.5,0.42,0.18,1,2018
NFL,11966,2550380,PAR471800,00-0030850,Cody Parkey,K,CHI,113,110.16,11,6.57,1,2.1,0.07,0.5,0.47,0.45,0.13,1,2018
NFL,8930,2506677,PRA143616,00-0023853,Matt Prater,K,DET,124.32,104.04,5,7.75,1,2.68,0.07,0.55,0.55,0.52,0.19,1,2018
NFL,13241,2556771,ROS046718,00-0032870,Aldrick Rosas,K,NYG,135,112.98,9,5.67,1,1.65,0.04,0.41,0.47,0.42,0.14,1,2018
NFL,13832,2561153,SAN342927,00-0034794,Jason Sanders,K,MIA,91,86.91,9,7.73,1,2.51,0.08,0.55,0.59,0.52,0.2,1,2018
NFL,11384,2539637,STU678742,00-0030390,Caleb Sturgis,K,,36,0,6,7.43,1,2.6,0.13,0.56,0.52,0.4,0.15,1,2018
