data_src,id,src_id,esbid,gsisplayerid,player,pos,team,seasonpts,site_season_pts,weekpts,site_pts,games,rush_yds,rush_tds,rec,rec_yds,rec_tds,ret_tds,fumbles_lost,two_pts,week,season
NFL,12155,2552374,ABD647726,00-0032104,Ameer Abdullah,RB,MIN,0.9,0,0,1.38,1,6.05,0.05,0.49,3.94,0.03,0.01,0.05,NA,1,2018
NFL,12154,2552582,AJA771256,00-0031590,Jay Ajayi,RB,PHI,38.4,0,20.2,9.84,1,60.01,0.35,1.78,14.36,0.08,NA,0.1,0.01,1,2018
NFL,12159,2552631,ALL469092,00-0031577,Javorius Allen,RB,BAL,58.6,0,9.2,5.67,1,27.14,0.25,1.47,11.92,0.06,NA,0.05,NA,1,2018
NFL,11454,2540269,AND163330,00-0029854,C.J. Anderson,RB,LA,62.4,53.05,3.5,7.35,1,45.65,0.25,1.36,11.27,0.05,NA,0.08,0.01,1,2018
NFL,13326,2558833,ARM000892,00-0033296,Alex Armah,RB,CAR,14,13.9,6.1,0.34,1,0.61,0.01,0.16,1.78,0.01,NA,0.01,NA,1,2018
NFL,12161,2552375,ART387205,00-0031599,Cameron Artis-Payne,RB,CAR,14.4,4.51,0,0.43,1,2.46,0.02,0.06,0.85,NA,NA,0.01,NA,1,2018
NFL,13621,2560967,BAL608677,00-0034799,Kalen Ballage,RB,MIA,28.7,31.68,0,1.08,1,4.39,0.03,0.45,3.82,0.02,NA,0.02,NA,1,2018
NFL,12637,2556466,BAR077733,00-0032741,Peyton Barber,RB,TB,130.3,133.84,6.9,10.41,1,57.8,0.49,1.92,14.85,0.06,NA,0.09,0.01,1,2018
NFL,13604,2560968,BAR192674,00-0034844,Saquon Barkley,RB,NYG,294.8,291.56,18.8,12.65,1,68.14,0.43,3.24,27.17,0.13,NA,0.13,0.01,1,2018
NFL,11193,2540156,BER219765,00-0030456,Giovani Bernard,RB,CIN,60.9,63.32,0.9,4.83,1,18.04,0.11,2.57,20.07,0.07,NA,0.04,0.01,1,2018
NFL,9898,497149,BLO626278,00-0027325,LeGarrette Blount,RB,DET,76.5,81.39,-0.3,4.73,1,29.54,0.26,0.31,2,0.02,NA,0.05,NA,1,2018
NFL,11834,2543600,BLU106654,00-0031075,Alfred Blue,RB,HOU,77.3,79.53,9.6,4.25,1,24.12,0.15,1.13,8.58,0.03,0.01,0.05,NA,1,2018
NFL,11408,2540225,BOH116572,00-0030112,Tommy Bohanon,RB,JAX,4.1,4.68,0,0.46,1,0.16,NA,0.46,3.41,0.02,NA,0.01,NA,1,2018
NFL,10932,2532797,BOL167697,00-0029239,Brandon Bolden,RB,MIA,26.4,28.82,0,0.66,1,3.03,0.03,0.16,1.41,0.01,0.01,0.01,NA,1,2018
NFL,12629,2555223,BOO019902,00-0032972,Devontae Booker,RB,DEN,49.8,52.57,1.5,6.1,1,26.15,0.19,2.31,20.01,0.08,NA,0.07,NA,1,2018
NFL,13868,2561099,BOO452495,00-0034208,Mike Boone,RB,MIN,4.8,6.25,0,1.61,1,7.17,0.06,0.47,3.93,0.03,0.02,0.02,NA,1,2018
NFL,13378,2558918,BRE256819,00-0033308,Matt Breida,RB,SF,135.5,0,5.1,7.49,1,40.06,0.26,1.8,16.06,0.08,NA,0.08,NA,1,2018
NFL,12386,2552382,BRO550137,00-0031806,Malcolm Brown,RB,LA,34.4,0,2.3,1.23,1,7.96,0.05,0.23,1.74,NA,NA,0.02,NA,1,2018
NFL,11182,2539265,BUR268979,00-0030288,Rex Burkhead,RB,NE,35.7,31.17,6.9,8.82,1,37.97,0.4,2.39,20.46,0.12,NA,0.07,NA,1,2018
NFL,12325,2552636,BUR792195,00-0031595,Michael Burton,RB,CHI,0.6,2.86,0.6,0.67,1,2.98,0.02,0.28,2.07,0.01,NA,0.01,NA,1,2018
NFL,13816,2561137,CAN678301,00-0034164,Trenton Cannon,RB,NYJ,31.7,33.1,2.1,1.58,1,7.18,0.06,0.6,4.42,0.02,0.02,0.03,NA,1,2018
NFL,13364,2558865,CAR568144,00-0033594,Chris Carson,RB,SEA,181.4,175.11,5.9,8.02,1,48.83,0.26,1.65,13.38,0.07,NA,0.09,NA,1,2018
NFL,13610,2561021,CHU033942,00-0034791,Nick Chubb,RB,CLE,174.5,185.35,2.1,2.15,1,12.48,0.1,0.37,3.01,0.01,NA,0.03,NA,1,2018
NFL,13136,2559150,CLE186218,00-0033725,Corey Clement,RB,PHI,59.1,0,2.6,4.29,1,13.15,0.11,1.8,17.13,0.11,0.01,0.04,0.01,1,2018
NFL,13290,2558250,COH427642,00-0033556,Tarik Cohen,RB,CHI,162.94,161.99,4.1,4.73,1,17.63,0.09,3.08,21.45,0.07,0.03,0.07,NA,1,2018
NFL,11524,2534871,COL248659,00-0029068,Derrick Coleman,RB,ARI,2,2.59,0,0.46,1,NA,NA,0.41,3.18,0.02,NA,NA,0.01,1,2018
