data_src,id,src_id,esbid,gsisplayerid,player,pos,team,seasonpts,site_season_pts,weekpts,site_pts,games,rec,rec_yds,rec_tds,rush_yds,rush_tds,ret_tds,tack,ast,int,frc_fum,fum_rec,pass_def,week,season
NFL,11675,2543495,ADA218591,00-0031381,Davante Adams,WR,GB,218.6,230.35,14.8,9.32,1,5.46,64.43,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,12181,2552600,AGH474619,00-0031549,Nelson Agholor,WR,PHI,101.4,91.13,5.5,6.98,1,4.53,49.44,0.27,3.19,0.03,0.01,NA,NA,NA,NA,NA,NA,1,2018
NFL,11222,2540154,ALL532966,00-0030279,Keenan Allen,WR,LAC,163.1,167.64,16.8,12.17,1,6.8,89.64,0.54,0.22,NA,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,12665,2556460,ALL713965,00-0032626,Geronimo Allison,WR,GB,42.3,0,12.9,3.75,1,2.78,28.29,0.16,0.03,NA,0.01,NA,NA,NA,NA,NA,NA,1,2018
NFL,9308,2649,AME359918,00-0026035,Danny Amendola,WR,MIA,68.42,71.7,2.6,8.39,1,5.12,59.66,0.41,0.03,NA,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,12930,2556462,AND460305,00-0032688,Robby Anderson,WR,NYJ,106.4,113.62,9.2,7.33,1,3.99,52.68,0.32,1.63,0.01,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,11213,2539336,AUS659596,00-0030525,Tavon Austin,WR,DAL,31.5,30.84,0.1,1.1,1,0.21,1.8,NA,7.23,0.04,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,10527,2530747,BAL312014,00-0028434,Doug Baldwin,WR,SEA,91.8,98.5,0,8.9,1,4.1,60.64,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,10973,2535698,BEA434808,00-0029000,Cole Beasley,WR,DAL,85.2,73.31,7.3,3.43,1,2.46,25.72,0.15,NA,NA,0.01,NA,NA,NA,NA,NA,NA,1,2018
NFL,11679,2543496,BEC573252,00-0031235,Odell Beckham,WR,NYG,153.34,0,11,9.49,1,5.13,67.21,0.45,0.72,0.01,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,11104,2535964,BEL647328,00-0029319,Josh Bellamy,WR,CHI,19.7,21.62,0,1.64,1,0.94,12.39,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018
NFL,11673,2543471,BEN150538,00-0031359,Kelvin Benjamin,WR,KC,44,44.92,1,5.99,1,3.22,43.69,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018
