player,start_yr,end_yr,pos,team,age,yrs,dollars,average_salary,guaranteed_at_signing,practical_guarantees,percent_gtd,free_agent
Khalil Mack,2018,2024,OLB,CHI,28,6,141000000,23500000,60000000,90000000,63.83,2025
Aaron Donald,2018,2024,DT,LAR,27,6,135000000,22500000,50000000,86892000,64.36,2025
Von Miller,2016,2021,OLB,DEN,30,6,114100000,19016667,42000000,70000000,61.35,2022
DeMarcus Lawrence,2019,2023,DE,DAL,27,5,105000000,21000000,48000000,65000000,61.9,2024
Frank Clark,2019,2023,DE,KC,25,5,104000000,20800000,43805000,62305000,59.91,2024
Fletcher Cox,2016,2022,DT,PHI,28,6,102600000,17100000,36299000,63299000,61.69,2023
J.J. Watt,2014,2021,DE,HOU,30,6,100005425,16667571,30881810,51876000,51.87,2022
Gerald McCoy,2015,2021,DT,TB,31,6,95200000,15866667,14757308,51500000,54.1,2022
Trey Flowers,2019,2023,DE,DET,25,5,90000000,18000000,40000000,56000000,62.22,2024
Dee Ford,2019,2023,OLB,SF,28,5,85500000,17100000,19750000,33350000,39.01,2024
Olivier Vernon,2016,2020,OLB,CLESigned w/NYG,28,5,85000000,17000000,40500000,52500000,61.76,2021
C.J. Mosley,2019,2023,ILB,NYJ,26,5,85000000,17000000,43000000,51000000,60,2024
Landon Collins,2019,2024,FS,WAS,25,6,84000000,14000000,26000000,44500000,52.98,2025
Chandler Jones,2017,2021,DE,ARI,29,5,82500000,16500000,31000000,51000000,61.82,2022
Kawann Short,2017,2021,DT,CAR,30,5,80500000,16100000,35000000,35000000,43.48,2022
Xavien Howard,2019,2024,CB,MIA,25,5,76500000,15300000,0,46000000,60.13,2025
Josh Norman,2016,2020,CB,WAS,31,5,75000000,15000000,36500000,50000000,66.67,2021
Trumaine Johnson,2018,2022,CB,NYJ,29,5,72500000,14500000,34000000,45000000,62.07,2023
Danielle Hunter,2018,2023,DE,MIN,24,5,72000000,14400000,16907000,40000000,55.56,2024
Xavier Rhodes,2017,2022,CB,MIN,28,5,70100000,14020000,22400000,32800000,46.79,2023
Patrick Peterson,2016,2020,CB,ARI,28,5,70050000,14010000,16249114,47368114,67.62,2021
Desmond Trufant,2017,2022,CB,ATL,28,5,68750000,13750000,20776000,41526000,60.4,2023
A.J. Bouye,2017,2021,CB,JAC,27,5,67500000,13500000,26000000,26000000,38.52,2022
Anthony Barr,2019,2023,OLB,MIN,27,5,67500000,13500000,15900000,33000000,48.89,2024
Za'Darius Smith,2019,2022,OLB,GB,26,4,66000000,16500000,20000000,20000000,30.3,2023
Geno Atkins,2018,2022,DT,CIN,31,4,65200000,16300000,17000000,25000000,38.34,2023
Stephon Gilmore,2017,2021,CB,NE,28,5,65000000,13000000,31000000,40000000,61.54,2022
Melvin Ingram,2017,2020,OLB,LAC,30,4,64000000,16000000,34000000,34000000,53.13,2021
Janoris Jenkins,2016,2020,CB,NYG,30,5,62500000,12500000,28800000,28800000,46.08,2021
Jason Pierre-Paul,2017,2020,DE,TBSigned w/NYG,30,4,62000000,15500000,28500000,40000000,64.52,2021
Luke Kuechly,2015,2021,ILB,CAR,28,5,61801565,12360313,27000000,34363324,55.6,2022
Malcolm Butler,2018,2022,CB,TEN,29,5,61250000,12250000,24000000,30000000,48.98,2023
Jurrell Casey,2017,2022,DT,TEN,29,4,60400000,15100000,24000000,40000000,66.23,2023
Stephon Tuitt,2017,2022,DE,PIT,25,5,60001439,12000288,13000000,13000000,21.67,2023
Calais Campbell,2017,2020,DE,JAC,32,4,60000000,15000000,30000000,30000000,50,2021
Reshad Jones,2017,2022,SS,MIA,31,5,60000000,12000000,19885000,35000000,58.33,2023
Cameron Heyward,2015,2020,DE,PIT,30,6,59200000,9866667,15000000,15000000,25.34,2021
Everson Griffen,2017,2022,DE,MIN,31,4,58000000,14500000,18800000,34000000,58.62,2023
Ryan Kerrigan,2015,2020,OLB,WAS,30,5,57500000,11500000,23788000,23788000,41.37,2021
Aqib Talib,2014,2019,CB,LARSigned w/DEN,33,6,57000000,9500000,11500000,25500000,44.74,2020
Kyle Fuller,2018,2021,CB,CHI,27,4,56000000,14000000,19000000,19000000,33.93,2022
Earl Thomas,2019,2022,FS,BAL,30,4,55000000,13750000,32000000,32000000,58.18,2023
Cameron Jordan,2015,2020,DE,NO,29,5,55000000,11000000,22969000,33469000,60.85,2021
Kwon Alexander,2019,2022,ILB,SF,24,4,54000000,13500000,14250000,25500000,47.22,2023
Dre Kirkpatrick,2017,2021,CB,CIN,29,5,52500000,10500000,12000000,12000000,22.86,2022
Brandon Williams,2017,2021,DT,BAL,30,5,52500000,10500000,24500000,33750000,64.29,2022
Preston Smith,2019,2022,OLB,GB,26,4,52000000,13000000,16000000,16000000,30.77,2023
Harrison Smith,2016,2021,FS,MIN,30,5,51250000,10250000,15278000,28578000,55.76,2022
Linval Joseph,2017,2022,DT,MIN,30,4,50350000,12587500,11500000,31500000,62.56,2023
Lavonte David,2015,2020,OLB,TB,29,5,50250000,10050000,5738418,25556418,50.86,2021
Star Lotulelei,2018,2022,DT,BUF,29,5,50000000,10000000,18500000,24650000,49.3,2023
Benardrick McKinney,2018,2023,ILB,HOU,26,5,50000000,10000000,16000000,21000000,42,2024
Eric Kendricks,2018,2023,ILB,MIN,27,5,50000000,10000000,11638080,25000000,50,2024
Darius Slay,2016,2020,CB,DET,28,4,48150000,12037500,23100000,23100000,47.98,2021
