player,start_yr,end_yr,pos,team,age,yrs,dollars,average_salary,guaranteed_at_signing,practical_guarantees,percent_gtd,free_agent
Matt Ryan,2018,2023,QB,ATL,33,5,150000000,30000000,94500000,100000000,66.67,2024
Russell Wilson,2019,2023,QB,SEA,30,4,140000000,35000000,70000000,107000000,76.43,2024
Jimmy Garoppolo,2018,2022,QB,SF,27,5,137500000,27500000,41700000,74100000,53.89,2023
Matthew Stafford,2017,2022,QB,DET,31,5,135000000,27000000,60500000,92000000,68.15,2023
Aaron Rodgers,2018,2023,QB,GB,35,4,134000000,33500000,79200000,98700000,73.66,2024
Derek Carr,2017,2022,QB,OAK,28,5,125000000,25000000,40000000,70200000,56.16,2023
Andrew Luck,2016,2021,QB,IND,29,5,122970000,24594000,44000000,87000000,70.75,2022
Cam Newton,2015,2020,QB,CAR,29,5,103800000,20760000,41000000,60000000,57.8,2021
Tyron Smith,2016,2023,LT,DAL,28,8,97600000,12200000,22118013,22118013,22.66,2024
Andy Dalton,2014,2020,QB,CIN,31,6,96000000,16000000,17000000,17000000,17.71,2021
Alex Smith,2018,2022,QB,WAS,35,4,94000000,23500000,55000000,71000000,75.53,2023
"Odell Beckham, Jr.",2018,2023,WR,CLESigned w/NYG,26,5,90000000,18000000,40959000,65000000,72.22,2024
Nick Foles,2019,2022,QB,JAC,30,4,88000000,22000000,45125000,50125000,56.96,2023
Eli Manning,2015,2019,QB,NYG,38,4,84000000,21000000,54000000,67000000,79.76,2020
Kirk Cousins,2018,2020,QB,MIN,30,3,84000000,28000000,84000000,84000000,100,2021
Zack Martin,2018,2024,G,DAL,28,6,84000000,14000000,32000000,40000000,47.62,2025
Philip Rivers,2015,2019,QB,LACSigned w/SD,37,4,83250000,20812500,37500000,65000000,78.08,2020
Mike Evans,2018,2023,WR,TB,25,5,82500000,16500000,38258000,55008000,66.68,2024
DeAndre Hopkins,2017,2022,WR,HOU,26,5,81000000,16200000,36500000,49000000,60.49,2023
Brandin Cooks,2018,2023,WR,LAR,25,5,81000000,16200000,20459000,49459000,61.06,2024
Taylor Lewan,2018,2023,LT,TEN,27,5,80000000,16000000,34000000,50000000,62.5,2024
Jarvis Landry,2018,2022,WR,CLE,26,5,75500000,15100000,34000000,47000000,62.25,2023
Jake Matthews,2018,2023,LT,ATL,27,5,72500000,14500000,34946000,41350000,57.03,2024
Stefon Diggs,2018,2023,WR,MIN,25,5,72000000,14400000,16907000,40007000,55.57,2024
Julio Jones,2015,2020,WR,ATL,30,5,71256045,14251209,35500000,47000000,65.96,2021
Trent Williams,2015,2020,LT,WAS,30,5,68000000,13600000,30000000,41250000,60.66,2021
Ben Roethlisberger,2019,2021,QB,PIT,37,2,68000000,34000000,37500000,37500000,55.15,2022
Andrew Norwell,2018,2022,G,JAC,27,5,66500000,13300000,30000000,30000000,45.11,2023
Joe Flacco,2016,2021,QB,DENSigned w/BAL,34,3,66400000,22133333,44000000,44000000,66.27,2022
Trenton Brown,2019,2022,RT,OAK,26,4,66000000,16500000,36250000,36250000,54.92,2023
T.Y. Hilton,2015,2020,WR,IND,29,5,65000000,13000000,11000000,28000000,43.08,2021
Terron Armstead,2016,2021,LT,NO,27,5,65000000,13000000,15880000,38000000,58.46,2022
Adam Thielen,2019,2024,WR,MIN,28,4,64200000,16050000,14105000,33000000,51.4,2025
Nate Solder,2018,2021,LT,NYG,31,4,62000000,15500000,34800000,34800000,56.13,2022
A.J. Green,2015,2019,WR,CIN,30,4,60000000,15000000,26750000,32750000,54.58,2020
Kevin Zeitler,2017,2021,G,NYGSigned w/CLE,29,5,60000000,12000000,23000000,31500000,52.5,2022
Cordy Glenn,2016,2020,LT,CINSigned w/BUF,29,5,60000000,12000000,28000000,36000000,60,2021
Riley Reiff,2017,2021,LT,MIN,30,5,58750000,11750000,26300000,26300000,44.77,2022
Kelechi Osemele,2016,2020,G,NYJSigned w/OAK,29,5,58500000,11700000,25400000,25400000,43.42,2021
Davante Adams,2017,2021,WR,GB,26,4,58000000,14500000,24000000,30000000,51.72,2022
Todd Gurley,2018,2023,RB,LAR,24,4,57500000,14375000,21950000,45000000,78.26,2024
Travis Frederick,2016,2023,C,DAL,28,6,56400060,9400010,18162882,28162882,49.93,2024
Lane Johnson,2016,2021,RT,PHI,29,5,56260000,11252000,20862242,35500000,63.1,2022
Gabe Jackson,2017,2022,G,OAK,27,5,55000000,11000000,16500000,27500000,50,2023
Ali Marpet,2019,2023,G,TB,26,5,54125000,10825000,10374581,10374581,19.17,2024
Russell Okung,2017,2020,LT,LAC,31,4,53000000,13250000,25000000,25000000,47.17,2021
Le'Veon Bell,2019,2022,RB,NYJ,27,4,52500000,13125000,27000000,27000000,51.43,2023
Alshon Jeffery,2017,2021,WR,PHI,29,4,52000000,13000000,14000000,26750000,51.44,2022
Brandon Linder,2017,2022,C,JAC,27,5,51703000,10340600,19500000,24000000,46.42,2023
Joel Bitonio,2017,2022,G,CLE,27,6,51164777,8527463,17164777,23664777,46.25,2023
Ja'Wuan James,2019,2022,RT,DEN,26,4,51000000,12750000,27000000,32000000,62.75,2023
Antonio Brown,2019,2021,WR,OAK,30,3,50125000,16708333,30125000,30125000,60.1,2022
Drew Brees,2018,2019,QB,NO,40,2,50000000,25000000,20700000,27000000,54,2020
David DeCastro,2016,2021,G,PIT,29,5,50000000,10000000,16000000,16000000,32,2022
Eric Fisher,2016,2021,LT,KC,28,4,48000000,12000000,22000000,22000000,45.83,2022
David Bakhtiari,2016,2020,LT,GB,27,4,48000000,12000000,16700000,16700000,34.79,2021
Sammy Watkins,2018,2020,WR,KC,25,3,48000000,16000000,30000000,30000000,62.5,2021
Ricky Wagner,2017,2021,RT,DET,29,5,47500000,9500000,17500000,20500000,43.16,2022
Weston Richburg,2018,2022,C,SF,27,5,47500000,9500000,16500000,28500000,60,2023
Travis Kelce,2016,2021,TE,KC,29,5,46842000,9368400,10517000,20017000,42.73,2022
Jordan Reed,2016,2021,TE,WAS,28,5,46750000,9350000,14000000,22000000,47.06,2022
Alex Mack,2016,2020,C,ATL,33,5,45000000,9000000,20000000,28500000,63.33,2021
Keenan Allen,2016,2020,WR,LACSigned w/SD,27,4,45000000,11250000,20656000,20656000,45.9,2021
Trai Turner,2017,2021,G,CAR,25,4,45000000,11250000,20500000,20500000,45.56,2022
Shaq Mason,2018,2023,G,NE,25,5,45000000,9000000,21907000,23500000,52.22,2024
Justin Pugh,2018,2022,G,ARI,28,5,44775000,8955000,13000000,15750000,35.18,2023
Joe Staley,2012,2019,LT,SF,34,6,44650000,7441667,10000000,11460000,25.67,2020
Rodney Hudson,2015,2019,C,OAK,29,5,44500000,8900000,12600000,20000000,44.94,2020
