player,start_yr,end_yr,pos,team,age,yrs,dollars,average_salary,guaranteed_at_signing,practical_guarantees,percent_gtd,free_agent
Johnny Hekker,2017,2022,P,LAR,29,6,21000000,3500000,4250000,6250000,29.76,2023
Will Lutz,2019,2023,K,NO,24,5,20250000,4050000,9200000,9200000,45.43,2024
Ryan Succop,2018,2022,K,TEN,32,5,20000000,4000000,7500000,7500000,37.5,2023
Justin Tucker,2019,2023,K,BAL,29,4,20000000,5000000,12500000,12500000,62.5,2024
Graham Gano,2018,2021,K,CAR,32,4,17000000,4250000,8000000,9000000,52.94,2022
Chris Boswell,2018,2022,K,PIT,28,4,16806000,4201500,7295000,7295000,43.41,2023
Sam Koch,2015,2020,P,BAL,36,5,16250000,3250000,5000000,5000000,30.77,2021
Mason Crosby,2016,2019,K,GB,34,4,16100000,4025000,5000000,5000000,31.06,2020
Thomas Morstead,2018,2022,P,NO,33,4,15850000,3962500,8868000,9118000,57.53,2023
Josh Lambo,2019,2022,K,JAC,28,4,15500000,3875000,4500000,6500000,41.94,2023
Jason Myers,2019,2022,K,SEA,27,4,15450000,3862500,5500000,7000000,45.31,2023
Sam Martin,2016,2020,P,DET,29,4,13600276,3400069,3175000,5900000,43.38,2021
Matt Bosher,2015,2019,P,ATL,31,5,12655000,2531000,6000000,6000000,47.41,2020
Brett Kern,2019,2022,P,TEN,33,4,12650000,3162500,4000000,4000000,31.62,2023
Matt Prater,2017,2020,K,DET,34,3,11400000,3800000,5000000,5000000,43.86,2021
Brandon McManus,2017,2020,K,DEN,27,3,11254000,3751333,6000000,8250000,73.31,2021
Britton Colquitt,2017,2020,P,CLE,34,4,11200000,2800000,5700000,5700000,50.89,2021
Bradley Pinion,2019,2022,P,TB,24,4,11000000,2750000,3600000,3600000,32.73,2023
Steven Hauschka,2017,2019,K,BUF,33,3,8850000,2950000,4000000,4000000,45.2,2020
Chris Jones,2017,2021,P,DAL,29,4,8700000,2175000,4500000,4500000,51.72,2022
Stephen Gostkowski,2019,2020,K,NE,35,2,8500000,4250000,3700000,3700000,43.53,2021
Kevin Huber,2018,2020,P,CIN,33,3,7950000,2650000,1550000,1550000,19.5,2021
Tress Way,2016,2020,P,WAS,29,5,7585000,1517000,1850000,2950000,38.89,2021
Michael Palardy,2018,2021,P,CAR,26,3,7520000,2506667,2000000,2000000,26.6,2022
Dustin Colquitt,2018,2020,P,KC,37,3,7500000,2500000,2965000,2965000,39.53,2021
Dustin Hopkins,2018,2020,K,WAS,28,3,7450000,2483333,1201072,1201072,16.12,2021
Greg Zuerlein,2017,2019,K,LAR,31,3,6750000,2250000,2375000,2375000,35.19,2020
Charley Hughlett,2017,2022,LS,CLE,28,6,6370000,1061667,850000,850000,13.34,2023
Beau Brinkley,2015,2019,LS,TEN,29,5,5750000,1150000,840000,840000,14.61,2020
Morgan Cox,2016,2020,LS,BAL,33,5,5600000,1120000,700000,700000,12.5,2021
J.J. Jansen,2016,2020,LS,CAR,33,5,5500000,1100000,700000,700000,12.73,2021
Andy Lee,2018,2020,P,ARI,36,2,5250000,2625000,2000000,2000000,38.1,2021
Robbie Gould,2019,2019,K,SF,37,1,4971000,4971000,0,0,0,2020
Kyle Nelson,2019,2022,LS,SF,32,4,4540000,1135000,450000,450000,9.91,2023
James Winchester,2017,2021,LS,KC,29,5,4450000,890000,500000,500000,11.24,2022
Mike Windt,2017,2020,LS,LAC,32,4,4410000,1102500,620000,620000,14.06,2021
Nick Sundberg,2017,2020,LS,WAS,31,4,4400000,1100000,610000,610000,13.86,2021
Joe Cardona,2018,2022,LS,NE,27,4,4310000,1077500,1000000,1000000,23.2,2023
Andrew DePaola,2018,2021,LS,OAK,31,4,4270000,1067500,875000,875000,20.49,2022
Randy Bullock,2018,2020,K,CIN,29,2,4205000,2102500,750000,750000,17.84,2021
Aaron Brewer,2018,2021,LS,ARI,28,4,4150000,1037500,620000,620000,14.94,2022
Kevin McDermott,2016,2020,LS,MIN,29,4,4000000,1000000,500000,500000,12.5,2021
Jon Weeks,2015,2019,LS,HOU,33,4,3900000,975000,330000,330000,8.46,2020
Adam Vinatieri,2019,2019,K,IND,46,1,3875000,3875000,2000000,2000000,51.61,2020
Jordan Berry,2019,2020,P,PIT,28,2,3700000,1850000,750000,750000,20.27,2021
Jake McQuaide,2018,2020,LS,LAR,31,3,3525000,1175000,385000,385000,10.92,2021
Pat O'Donnell,2019,2020,P,CHI,28,2,3500000,1750000,1750000,1750000,50,2021
Mitch Wishnowsky,2019,2022,P,SF,27,4,3281159,820290,761159,761159,23.2,2023
Josh Harris,2018,2021,LS,ATL,30,3,3135000,1045000,1455000,1455000,46.41,2022
Ka'imi Fairbairn,2019,2019,K,HOU,25,1,3095000,3095000,0,0,0,2020
Matt Gay,2019,2022,K,TB,0,4,2844532,711133,324532,324532,11.41,2023
Austin Seibert,2019,2022,K,CLE,0,4,2780456,695114,260456,260456,9.37,2023
Michael Dickson,2018,2021,P,SEA,23,4,2750151,687538,290151,290151,10.55,2022
Reid Ferguson,2019,2021,LS,BUF,25,3,2745000,915000,445000,445000,16.21,2022
JK Scott,2018,2021,P,GB,22,4,2677553,669388,217553,217553,8.13,2022
Johnny Townsend,2018,2021,P,OAK,24,4,2677553,669388,217553,217553,8.13,2022
Jason Sanders,2018,2021,K,MIA,23,4,2551200,637800,91200,91200,3.57,2022
Hunter Bradley,2018,2021,LS,GB,24,4,2537342,634336,77342,77342,3.05,2022
Logan Cooke,2018,2021,P,JAC,23,4,2531623,632906,71623,71623,2.83,2022
Riley Dixon,2016,2019,P,NYGSigned w/DEN,25,4,2420009,605002,80009,80009,3.31,2020
Lac Edwards,2016,2019,P,NYJ,27,4,2415795,603949,75795,75795,3.14,2020
Chandler Catanzaro,2019,2019,K,NYJ,28,1,2300000,2300000,600000,600000,26.09,2020
Clark Harris,2019,2020,LS,CIN,34,2,2295000,1147500,0,180000,7.84,2021
Jack Fox,2019,2021,P,KC,0,3,1765000,588333,55000,55000,3.12,2022
Matthew Orzech,2019,2021,LS,BAL,0,3,1757000,585667,2000,2000,0.11,2022
A.J. Cole,2019,2021,P,OAK,0,3,1755000,585000,0,0,0,2022
Jamie Gillan,2019,2021,P,CLE,0,3,1755000,585000,0,0,0,2022
Chase McLaughlin,2019,2021,K,BUF,23,3,1755000,585000,0,0,0,2022
